,cV,eV
0,25,0.2764625916686454
1,50,0.1579079495367926
2,75,0.12677969047231796
3,100,0.07238048264816963
4,125,0.07788972890866946
5,150,0.09471116534112113
6,175,0.05526792795842354
7,200,0.07361001808699034
8,225,0.051810089069371644
9,250,0.08081687560635442
10,275,0.061123304654481216
11,300,0.04515215417526945
12,325,0.04833695186242
13,350,0.05245140422709721
14,375,0.04405925678118486
15,400,0.043148340861764
16,425,0.061335229835695594
17,450,0.051749462398677025
18,475,0.042849358618756404
19,500,0.046714919163372795
20,525,0.044936396444008195
21,550,0.044447944576739805
22,575,0.04000156179868094
23,600,0.04417434625772683
24,625,0.03984458700845383
25,650,0.03384639071682014
26,675,0.032669412890943265
27,700,0.045676549486267315
28,725,0.05409813684432767
29,750,0.03757647519244494
30,775,0.04619347222043938
31,800,0.03811735029063292
32,825,0.037184778978253674
33,850,0.03143745424848244
34,875,0.03892187307954918
35,900,0.0410913132520067
36,925,0.039415986170550275
37,950,0.039186476498642896
