,cV,eV
0,50,0.16354994925983182
1,100,0.10580994126363782
2,150,0.07813875099750475
3,200,0.0606134334591225
4,250,0.058475144992168285
5,300,0.054592921992946256
6,350,0.04450221654724263
7,400,0.04151327133348962
8,450,0.04562237433875638
9,500,0.05047621556199148
10,550,0.04226936871407845
11,600,0.044678582428723204
12,650,0.033537000320574564
13,700,0.03498585839466327
14,750,0.03710225598207657
15,800,0.0326353289921898
16,850,0.0401757154027199
17,900,0.03326068782138921
18,950,0.025655191148372454
