,cU,eU
0,100,0.09972438742030004
1,200,0.07689430960350047
2,300,0.05285292527144471
3,400,0.039596007892709076
4,500,0.0423903000759044
5,600,0.03320547655259583
6,700,0.04196881457715908
7,800,0.036119979093848176
8,900,0.02717967549087074
9,1000,0.02300960487750677
10,1100,0.02670578577315637
11,1200,0.027397444854532577
12,1300,0.020752542333855237
13,1400,0.02231707872184714
14,1500,0.021243120261012043
15,1600,0.02204962086904945
16,1700,0.022178579635063124
17,1800,0.024333870699563873
18,1900,0.022909785664868225
19,2000,0.022818033326014085
20,2100,0.016692094491156977
21,2200,0.02368426181516418
22,2300,0.01919725197741018
23,2400,0.017832452450356244
24,2500,0.014787491700719416
25,2600,0.01657741586682121
26,2700,0.020017688866074818
27,2800,0.013673867201536844
28,2900,0.018483804023377286
29,3000,0.014588321949477479
30,3100,0.018639085866263415
31,3200,0.012699722206691869
32,3300,0.014251794446559694
33,3400,0.015660086046239984
34,3500,0.012897532822571273
35,3600,0.014985282296465554
36,3700,0.01553816758994839
37,3800,0.01704806340620806
38,3900,0.015294094404163456
39,4000,0.016296484133549026
40,4100,0.015198704771820438
41,4200,0.012572866011158992
42,4300,0.014303463012946308
43,4400,0.016752698239457044
44,4500,0.015325484328388048
45,4600,0.014336475312436824
46,4700,0.013179196582246649
47,4800,0.013927881940529994
48,4900,0.014507216583950138
