,cU,eU
0,25,0.06796944066129823
1,50,0.08255653995633047
2,75,0.056518723613878954
3,100,0.058505038181206226
4,125,0.05738654228630256
5,150,0.058081715079277584
6,175,0.046380253821633376
7,200,0.044470866666008
8,225,0.037898181816313395
9,250,0.034116171338712455
10,275,0.03531987110249672
11,300,0.029887790182769946
12,325,0.025359717118398472
13,350,0.02887132999421709
14,375,0.024925329725029814
15,400,0.038860380552535684
16,425,0.026986306058786203
17,450,0.02843396846630005
18,475,0.0262116197050117
19,500,0.02608359485575979
20,525,0.026645929199019286
21,550,0.02135629601384706
22,575,0.028804075302783883
23,600,0.03861078857645175
24,625,0.03652152960400886
25,650,0.02676700208962963
26,675,0.024163404747221083
27,700,0.023095033526091515
28,725,0.02481045674025991
29,750,0.018374868922176886
30,775,0.025255971115188246
31,800,0.015242955043994833
32,825,0.01777347984051349
33,850,0.023039335093543126
34,875,0.018585939870761275
35,900,0.020786333951883444
36,925,0.014766252679482625
37,950,0.02143938597750784
38,975,0.024705597934867533
39,1000,0.021216721278423657
40,1025,0.016484881450215573
41,1050,0.01915160027980973
42,1075,0.017318032169420967
43,1100,0.0235040961417174
44,1125,0.018026146987407288
45,1150,0.019453201286944118
46,1175,0.015603219679667454
47,1200,0.020317393730562745
48,1225,0.014396982828828512
49,1250,0.01585384549696261
50,1275,0.012119290774203683
51,1300,0.019781541380307053
52,1325,0.009897372810856129
53,1350,0.014115678399746413
54,1375,0.01778129166598431
55,1400,0.013120682661791344
56,1425,0.012380758053700584
57,1450,0.020179575607119887
58,1475,0.020794563380924728
59,1500,0.015279759846049765
60,1525,0.020774237173699764
61,1550,0.015595615180281653
62,1575,0.015756532189304104
63,1600,0.01331677614145856
64,1625,0.010344006937318934
65,1650,0.010658463430962673
66,1675,0.012858863891205325
67,1700,0.017464601098866207
68,1725,0.014751302886101034
69,1750,0.017391818160070193
70,1775,0.009666199724597044
71,1800,0.01332112175461656
72,1825,0.0144059337282446
73,1850,0.01703958751838419
74,1875,0.016662500681434052
75,1900,0.01707985661165288
76,1925,0.012845611928999847
77,1950,0.015074203735854396
78,1975,0.01288371752457471
79,2000,0.015594312604783583
80,2025,0.010677898313941735
81,2050,0.01170350965375692
82,2075,0.01380318903926842
83,2100,0.0148686094783546
84,2125,0.010085447109181373
85,2150,0.012341071498248432
86,2175,0.01093030942250774
87,2200,0.010288159048543443
88,2225,0.01470695125489555
89,2250,0.012518221885687516
90,2275,0.014210029448602796
91,2300,0.010232994583156409
92,2325,0.012635395421311887
93,2350,0.014877369123069648
94,2375,0.015241977216007724
95,2400,0.008549903595008797
96,2425,0.008172407097439346
97,2450,0.01155894799440085
98,2475,0.009268464802287477
99,2500,0.01143722300377466
100,2525,0.012775274573072518
101,2550,0.015437441544128868
102,2575,0.009968094408148949
103,2600,0.009047644696195787
104,2625,0.007729152422125551
105,2650,0.01236641997519165
106,2675,0.008575546619043745
107,2700,0.014075520008375147
108,2725,0.010167941546256182
109,2750,0.012933447772735729
110,2775,0.012627271944347693
111,2800,0.00960396077709096
112,2825,0.011715724127214479
113,2850,0.013779869569612229
114,2875,0.008877511020855856
115,2900,0.01339482811077565
116,2925,0.007830081850696802
117,2950,0.01127562822652534
118,2975,0.00941774869263245
