,cV,eV
0,10,0.3064713146849144
1,20,0.21762622731096898
2,30,0.1426505355312721
3,40,0.13672139621212287
4,50,0.11968152026186059
5,60,0.11277486949606075
6,70,0.10231159170380337
7,80,0.06390359850671597
8,90,0.09395993278873421
9,100,0.09011227253443527
10,110,0.08054784798606582
11,120,0.07596982779760408
12,130,0.057563812042128196
13,140,0.07290166431611417
14,150,0.08334896518022436
15,160,0.05589798496148761
16,170,0.07834141846812127
17,180,0.06655006512140797
18,190,0.057430275414983
19,200,0.04940751581436671
20,210,0.046486007492176795
21,220,0.058080304942550266
22,230,0.04884854782600552
23,240,0.046426971181442386
24,250,0.04742950750286286
25,260,0.046634525974825425
26,270,0.04198155796144719
27,280,0.05020857271959715
28,290,0.051904793435853615
29,300,0.04059548082181423
30,310,0.054349842740699095
31,320,0.029210482267124565
32,330,0.04039804715829035
33,340,0.03988368430834385
34,350,0.036440276239853145
35,360,0.04745239401077066
36,370,0.038792443663341475
37,380,0.04168506080656888
38,390,0.048868221176819396
39,400,0.03288165716808014
40,410,0.03810840138510784
41,420,0.039323703083955996
42,430,0.031541257042055224
43,440,0.04088784846641981
44,450,0.04223355665639618
45,460,0.032044854753878894
46,470,0.04825927969069504
47,480,0.032766111476400614
48,490,0.03557816533030755
49,500,0.033947176001904666
50,510,0.032816761207384366
51,520,0.028486643661484245
52,530,0.03271067227480981
53,540,0.035251112574819
54,550,0.03581764483243236
55,560,0.0350216522555631
56,570,0.0304591044821421
57,580,0.03755550250525283
58,590,0.022573211101414123
59,600,0.030716672960695725
60,610,0.03192325301008994
61,620,0.03409033987427677
62,630,0.03469368316878649
63,640,0.030468047567103952
64,650,0.03304572578113882
65,660,0.02955274746086605
66,670,0.03642466991500425
67,680,0.029165482224601042
68,690,0.029259325156352205
69,700,0.03298733893829118
70,710,0.03143565888543744
71,720,0.023422500385078433
72,730,0.028043022148389125
73,740,0.03943209965201781
74,750,0.028820770153361257
75,760,0.0317749226087823
76,770,0.02998278580556819
77,780,0.029463333033045002
78,790,0.025049680486642023
79,800,0.027463716102831957
80,810,0.025371153989008344
81,820,0.031220147596535512
82,830,0.03677667780824741
83,840,0.027860122056893578
84,850,0.02323715332847573
85,860,0.02447330347950625
86,870,0.02815489277933108
87,880,0.029057419684996488
88,890,0.030212431652415616
89,900,0.026777760370065844
90,910,0.029153105726843105
91,920,0.01984395383142966
92,930,0.03201240502544752
93,940,0.032873974588317804
94,950,0.026967607972270397
95,960,0.023711713082301737
96,970,0.021301956291556966
97,980,0.02550864234308096
98,990,0.02839155490885197
