,cU,eU
0,100,0.10355491991219497
1,200,0.06193065677082452
2,300,0.04969548588095545
3,400,0.047997632585918
4,500,0.03872205434747019
5,600,0.04135803173335612
6,700,0.03274733172536186
7,800,0.03357115018041708
8,900,0.032294475671290124
9,1000,0.034428363540175505
10,1100,0.027926487879794605
11,1200,0.024097850288216753
12,1300,0.022401442436342085
13,1400,0.02592081945447171
14,1500,0.024320085882856203
15,1600,0.024181335707793843
16,1700,0.031303765214644785
17,1800,0.019856912684182618
18,1900,0.02497649267853421
19,2000,0.016453778566898208
20,2100,0.0214526699198622
21,2200,0.017582757130617487
22,2300,0.018887482050935964
23,2400,0.016615117265085275
24,2500,0.019887196312830365
25,2600,0.021318246530551227
26,2700,0.01939297872627843
27,2800,0.018722141459016923
28,2900,0.015386476262917734
29,3000,0.018461317824257608
30,3100,0.01823012586591772
31,3200,0.015156791627873534
32,3300,0.016791608628226297
33,3400,0.012150894270112329
34,3500,0.01641557924884939
35,3600,0.011822183293642765
36,3700,0.017095998293757225
37,3800,0.015587721074205783
38,3900,0.017370453092375986
39,4000,0.01440695020188936
40,4100,0.01340449475803456
41,4200,0.014542403073751977
42,4300,0.017005976897587257
43,4400,0.012342814841275921
44,4500,0.014596689019241818
45,4600,0.01332906541503274
46,4700,0.013155144005762504
47,4800,0.01269825029344682
48,4900,0.014063258411299948
